FECHA_HORA_UTC;REGION;LATITUD (°) LOCALIZACIÓN HIPOCENTRO;LONGITUD (°) LOCALIZACIÓN HIPOCENTRO;PROFUNDIDAD (Km) LOCALIZACIÓN HIPOCENTRO;MAGNITUD ;AGENCIA ;LATITUD (°) LOCALIZACIÓN CENTROIDE;LONGITUD (°) LOCALIZACIÓN CENTROIDE;PROFUNDIDAD (Km) LOCALIZACIÓN CENTROIDE;MAGNITUD ;Mo (N.m);Strike plano 1 (°) PLANOS NODALES;Dip plano 1 (°) PLANOS NODALES;Rake plano 1 (°) PLANOS NODALES;Strike plano 2 (°) PLANOS NODALES;Dip plano 2 (°) PLANOS NODALES;Rake plano 2 (°) PLANOS NODALES;T-Plunge (°) EJES PRINCIPALES;T-Azimuth (°) EJES PRINCIPALES;N-Plunge (°) EJES PRINCIPALES;N-Azimuth (°) EJES PRINCIPALES;P-Plunge (°) EJES PRINCIPALES;P-Azimuth (°) EJES PRINCIPALES;Mxx (N.m) MOMENTO TENSOR;Myy (N.m) MOMENTO TENSOR;Mzz (N.m) MOMENTO TENSOR;Mxy (N.m) MOMENTO TENSOR;Myz (N.m) MOMENTO TENSOR;Mzx (N.m) MOMENTO TENSOR;Catalogo
2016-10-31 02:06:03;Prado - Tolima, Colombia;3,75;-74,82;29;4,2;SGC;3,3;-74,5;40;4.9 Mw;3,186E+16;312;57;36;200;60;141;;;;;;;1,2051e+16;-2,9158e+16;1,7108e+16;-1,0767e+16;5,3357e+15;-1,5054e+16;SWIFT
2016-12-19 21:02:10;Rionegro - Santander, Colombia;7,5;-73,42;118;4,6;SGC;6,9;-73,7;80;4.8 Mw;2,319E+16;212;81;20;119;70;170;;;;;;;-2,0033e+16;1,7582e+16;2,4510e+15;1,0537e+16;8,2035e+15;-1,1064e+15;SWIFT
2016-02-06 12:05:31;Los Santos - Santander, Colombia;6,82;-73,12;153;4,5;SGC;6,825;-73,119;144;4.2 Mw;2.396e+15 ;50;48;20;306;75;136;41;258;44;111;17;4;0.895E+15;-2.239E+15;1.343E+15;-0.985E+15;0.981E+15;-0.05E+15;ISOLA
2016-02-11 07:14:37;Los Santos - Santander, Colombia;6,82;-73,14;154;4,7;SGC;6,818;-73,135;152;4.5 Mw;8.080e+15 ;177;74;42;73;50;159;40;43;46;194;15;300;3.297E+15;0.924E+15;-4.221E+15;0.553E+15;-4.032E+15;-5.827E+15;ISOLA
2016-02-17 14:49:57;San Martín - Meta, Colombia;3,54;-73,13;4;4,2;SGC;3,54;-73,126;29;4.3 Mw;3,373E+15;310;89;-26;41;64;-179;17;358;64;128;19;262;-0.236E+15;3.105E+15;-2.868E+15;1.19E+15;-0.886E+15;0.46E+15;ISOLA
2016-02-28 05:28:12;Los Santos - Santander, Colombia;6,83;-73,13;150;4,5;SGC;6,827;-73,131;160;4.2 Mw;2.233e+15 ;105;65;44;353;51;147;48;326;41;129;8;226;1.018E+15;-0.215E+15;-0.803E+15;1.44E+15;0.807E+15;1.182E+15;ISOLA
2016-03-09 06:27:17;Los Santos - Santander, Colombia;6,84;-73,15;148;4,8;SGC;6,843;-73,147;150;4.7 Mw;1.441e+16 ;130;36;58;347;60;111;68;298;18;156;13;62;1.201E+16;-0.328E+16;-0.873E+16;0.139E+16;0.743E+16;0.591E+16;ISOLA
2016-04-30 16:11:47;Los Santos - Santander, Colombia;6,81;-73,16;146;4,5;SGC;6,808;-73,161;160;4.2 Mw;2.971e+15 ;329;75;-27;67;64;-163;7;20;59;122;30;286;-0.526E+15;2.308E+15;-1.783E+15;-0.107E+15;-1.496E+15;-1.478E+15;ISOLA
2016-12-16 19:45:17;Uribe - Meta, Colombia;3,37;-74,62;39;4,3;SGC;3,431;-74,645;27;4.1 Mw;1,688E+15;23;72;167;117;78;19;22;341;68;148;4;249;0.118E+15;1.134E+15;-1.252E+15;0.645E+15;0.103E+15;0.996E+15;ISOLA
2016-01-01 05:28:57;Los Santos - Santander, Colombia;6,82;-73,15;150,5;4;SGC;;;;;;57+/-8;78+/-7;-42+/-2;158+/-8;49+/-7;-164+/-2;;;;;;;;;;;;;POLARIDADES
2016-01-01 15:45:28;Yacopí - Cundinamarca, Colombia;5,62;-74,37;82,9;3,6;SGC;;;;;;12+/-3;64+/-5;178+/-6;103+/-3;88+/-5;26+/-6;;;;;;;;;;;;;POLARIDADES
