lon;lat;depth;str1;dip1;rake1;str2;dip2;rake2;name;Catalogo
-36,33;7,5;21,4;2;69;9;269;82;159;608587389;ISC
-37,19;7,79;21,4;183;86;-5;273;85;-176;615301136;ISC
-71,6942;8,3574;21,5;30,86;38,33;70,36;235,33;54,26;104,88;611470963;ISC
-37,6536;7,6051;21,5;181,42;67,4;-16,94;278,1;74,4;-156,48;619640882;ISC
-37,17;7,79;21,5;184;83;-4;275;86;-173;618997650;ISC
-37,1;7,76;21,8;180;89;-8;271;82;-179;619717454;ISC
-71,56;9,09;22;26;87;143;119;53;4;664632;ISC
-38,63;8,18;22,3;6;87;9;276;81;177;621111200;ISC
-74,42;7,739;22,6;115;88;-22;      ;     ;       ;609915722;ISC
-71,11;8,4;22,7;230;60;164;328;76;31;2431270;ISC
61,29;5,75;23;127;39;-79;293;51;-99;11908298;ISC
-38,054;7,985;23;7,8;39,44;-81,61;176,98;51,06;-96,85;637116638;ISC
61,15;5,78;23,2;123;47;-76;283;45;-104;600668744;ISC
-34,27;7,26;23,2;181;86;-13;272;77;-176;620346411;ISC
-73,307;7,749;23,3;14;78;-174;      ;     ;       ;606917823;ISC
61,1;5,77;23,3;130;44;-78;293;47;-101;606622927;ISC
-71,43;8,49;23,5;235;87;176;325;86;3;608040585;ISC
-74,859;6,967;23,6;71;78;-22;      ;     ;       ;610740355;ISC
-32,86;5,86;23,6;183;44;-75;342;48;-104;636873907;ISC
-33,37;6,14;23,8;0;51;-61;139;47;-121;605168877;ISC
-74,07;7,27;24;47;59;128;170;48;45;665432;ISC
-35,7;7,47;24;5;85;-3;96;87;-175;617626349;ISC
-71,12;6,57;24,1;21;39;-92;204;51;-88;223401;ISC
61,27;5,74;24,1;118;41;-91;299;49;-89;606622598;ISC
-34,11;7,27;24,2;190;83;-5;281;85;-173;606589335;ISC
-37,08;7,79;24,3;88;89;-173;357;83;-1;618988060;ISC
-37,24;7,75;24,4;2;77;3;271;87;167;13395862;ISC
-37,2;7,77;24,4;182;83;-12;273;78;-173;619093516;ISC
-74,497;7,174;24,5;31;88;138;      ;     ;       ;607771731;ISC
-36,92;7,77;24,7;93;89;166;183;76;1;621630626;ISC
-38,794;8,185;25;39;87;-12;130;78;-177;538115;ISC
-76,16;6,34;25,4;2;85;-89;166;5;-106;619878757;ISC
-37,1495;7,5804;25,5;186,86;70,42;-14,68;281,88;76,18;-159,81;637132920;ISC
-72,81;8,45;26;251;43;173;347;85;47;610119;ISC
-34,84;7,5;26,1;176;60;-4;268;87;-150;600846076;ISC
-37,154;7,683;26,1;62,2;37,3;105,8;222,6;54,4;78,3;618985510;ISC
-35,69;7,43;26,6;87;82;174;178;84;9;614594883;ISC
-72,14;7,18;26,9;237;42;155;346;74;51;12684433;ISC
-71,9;8,48;27,1;37;39;76;236;52;101;611470963;ISC
-74,272;7,631;27,2;72;68;-42;      ;     ;       ;606934068;ISC
-74,879;7,903;27,3;118;14;-180;      ;     ;       ;609912994;ISC
-38,45;8,14;27,5;181;85;-14;273;76;-174;608339383;ISC
-73,333;6,472;28;7;41;38;      ;     ;       ;615269454;ISC
-75,311;8,275;28,3;154;44;-107;      ;     ;       ;606621023;ISC
-34,57;7,66;28,6;186;43;-65;333;52;-112;616914022;ISC
-39,16;8,19;29;9;77;8;277;82;167;12809966;ISC
-72,126;7,182;29,5;40;52;77;240;40;106;13198691;ISC
-71,9324;7,4372;30;81,54;19,49;-26,36;196,58;81,48;-107,59;620174720;ISC
-72,1;7,13;30,6;26;62;80;227;29;108;13198691;ISC
-71,94;6,87;30,7;154;26;71;355;65;99;1726359;ISC
-74,683;7,698;31,3;93;68;-28;      ;     ;       ;608347513;ISC
-74,582;7,717;31,4;59;58;-62;      ;     ;       ;610740675;ISC
-73,364;6,533;32;18;88;-142;      ;     ;       ;610235724;ISC
-70,961;8,17;33;224;78;161;319;71;13;2431270;ISC
-37,94;8,17;33,1;187;47;-84;357;44;-97;637116638;ISC
-74,93;7,76;34,1;145;67;-27;247;65;-154;603346126;ISC
-74,775;6,682;34,3;95;56;-82;      ;     ;       ;605416667;ISC
-74,05;5,97;35,4;230;68;157;329;68;23;605702;ISC
-38,413;8,116;36;5;79;-7;97;83;-168;438342;ISC
-36,94;7,77;36,9;179;80;-6;270;84;-169;615370358;ISC
-72,64;7,96;40;57;64;170;151;81;26;636186;ISC
-75,32;7,3918;40,5;53,78;56,15;-119,26;278,94;43,57;-53,92;642661634;ISC
-74,657;7,514;40,9;73;18;-82;      ;     ;       ;610736479;ISC
-71,717;6,502;42,6;91;68;18;      ;     ;       ;604052715;ISC
-71,6995;6,5373;42,9;127,82;36,05;47,19;356,71;64,42;116,32;604052715;ISC
-75,2;7,25;43,9;51;58;-120;278;43;-52;642661634;ISC
-74,58;6,91;44,4;68;56;-84;238;34;-99;642051268;ISC
-74,247;7,8338;45;22,41;52,59;-111,72;235,67;42,44;-64,17;622060085;ISC
-75,3563;8,0283;45;182,57;58,04;-83,66;350,72;32,52;-100,03;641517431;ISC
-71,58;6,54;45,5;6;65;106;151;29;59;604052715;ISC
-74,477;8,379;46,2;118;38;77;      ;     ;       ;604361295;ISC
-75,298;7,3229;49;52,08;70,02;-124,99;296,06;39,65;-32,38;642661634;ISC
-72,03;7,31;50,7;161;35;90;341;55;90;677770;ISC
-71,58;6,64;50,8;8;67;117;136;35;43;604052715;ISC
-74,828;6,6713;56;43,33;59,16;-72,45;191,67;35,05;-116,79;642055426;ISC
-74,2289;7,8313;57;22,09;56,38;-110,89;236,67;38,92;-61,8;622060085;ISC
-75,336;9,27;58;85;42;-82;      ;     ;       ;606622905;ISC
-74,251;7,682;60;11,88;57,52;-119,04;237,83;42,48;-52,67;622060085;ISC
