lon;lat;depth;str1;dip1;rake1;str2;dip2;rake2;name;Catalogo
-37,85;7,698;12;171,84;71,17;-13,77;266,37;76,98;-160,66;619640882;ISC
-37,9;8,07;12;2;50;-87;177;40;-93;614583541;ISC
-32,9;5,67;12;167;55;-95;356;35;-83;615375962;ISC
60,57;6,19;12;156;46;-46;282;59;-125;616049440;ISC
-32,86;5,66;12;168;39;-82;339;52;-96;617787617;ISC
-38,01;8,21;12;179;81;-11;271;79;-171;622042184;ISC
-37,18;7,79;12;183;83;-1;273;89;-173;618985510;ISC
60,34;6,47;12;162;39;-61;306;56;-112;619024250;ISC
-38,01;8,17;12;192;51;-57;326;49;-124;619483926;ISC
-36,1;7,6;12;86;66;174;178;85;24;619499541;ISC
-36,6;7,6;12;164;38;-93;348;52;-88;619509205;ISC
-37,92;8,02;12;16;48;-79;179;43;-102;619940465;ISC
60,44;6,14;12;150;41;-64;297;54;-111;620341490;ISC
-37,93;8,11;12;206;41;-69;360;52;-107;620342216;ISC
59,61;7,33;12;165;48;-65;311;48;-115;624500025;ISC
-37,97;8,07;12;184;49;-87;360;41;-93;624623667;ISC
60,16;6,67;12;140;36;-66;291;57;-106;625750346;ISC
-33,98;7,26;12;180;81;-3;271;87;-171;626254750;ISC
-36,59;7,6;12;175;46;-88;352;44;-92;635804195;ISC
-32,89;5,71;12;170;51;-94;355;39;-86;636787270;ISC
-32,84;5,66;12;164;46;-87;340;44;-93;636786485;ISC
-32,87;5,72;12;175;46;-83;345;44;-98;636786489;ISC
60,11;6,65;12;139;49;-48;264;56;-128;636787186;ISC
-37,95;8,08;12;1;45;-95;189;45;-85;637116639;ISC
-37,93;8,08;12;195;38;-77;360;53;-100;637116640;ISC
-37,93;8,14;12;211;47;-58;348;51;-120;637116646;ISC
-37,9;8,14;12;211;43;-56;349;56;-117;637116641;ISC
40,11;9,23;12;15;42;-91;197;48;-89;642433720;ISC
-35;7,52;12,1;91;66;-173;358;84;-24;7145330;ISC
-37,93;7,99;12,1;25;61;-70;168;35;-122;16917817;ISC
-37,73;7,8;12,1;183;89;-4;273;86;-179;619640882;ISC
-35,72;7,45;12,2;92;81;175;182;85;9;611835114;ISC
60;6,61;12,2;162;65;-61;289;37;-136;615429854;ISC
61,15;5,74;12,4;124;37;-53;260;61;-115;606073451;ISC
37,8;7,49;12,5;22;47;-64;166;49;-115;15811112;ISC
61,65;5,43;12,5;98;50;-132;333;56;-52;601106544;ISC
-32,9;5,78;12,5;190;49;-72;343;44;-110;602445324;ISC
61,21;5,68;12,5;126;44;-68;277;50;-110;606623084;ISC
61,31;5,85;12,5;105;46;63;321;50;115;611836587;ISC
-35,01;7,51;12,6;0;88;-7;90;83;-178;12949668;ISC
-75,335;7,215;12,6;111;58;-2;      ;     ;       ;610735137;ISC
-32,87;5,7;12,6;173;57;-85;345;34;-97;616090383;ISC
-37,95;8,19;12,6;202;52;-65;345;45;-119;635691177;ISC
59,51;7,31;12,8;189;43;-53;324;57;-119;618471039;ISC
-37,86;8,24;12,8;200;37;-51;335;62;-116;624725429;ISC
-75,123;5,944;13;122,02;43,96;22,18;      ;     ;       ;604715034;ISC
