lon;lat;depth;str1;dip1;rake1;Catalogo;VMM
-73,273;6,395;2,5;353;89;-29;SG;0
-73,749;6,324;2,3;144;88;-88;SG;1
-73,952;7,008;2,2;120;58;-11;SG;1
-74,082;7,013;2,0;163;55;-19;SG;1
-74,075;6,665;2,0;266;43;-88;SG;1
-74,062;6,674;2,0;266;37;-87;SG;1
-74,070;6,657;2,0;14;46;110;SG;1
-73,264;6,743;2,0;13;57;89;SG;0
-73,620;6,338;1,6;5;67;90;SG;0
-73,808;6,394;1,5;243;10;-61;SG;1
-74,065;6,662;1,5;87;78;-27;SG;1
-73,949;7,041;1,4;275;18;-85;SG;1
-73,736;6,711;1,3;299;33;-87;SG;1
-73,800;6,896;0,9;298;60;43;SG;1
-73,616;6,341;0,7;160;76;24;SG;0
-73,604;6,884;0,6;156;75;14;SG;1
-73,474;7,126;0,1;280;38;-99;SG;1
-73,340;6,641;0,0;303;25;19;SG;0
-73,631;6,353;0,0;279;35;-89;SG;0
-73,628;6,350;0,0;236;75;-90;SG;0
-73,770;6,446;0,0;176;54;39;SG;1
-73,860;6,345;0,0;165;80;32;SG;1
-73,605;6,329;0,0;153;60;51;SG;0
-73,646;7,009;0,0;150;47;-60;SG;1
-73,317;6,578;0,0;111;68;34;SG;0
-73,321;6,582;0,0;25;6;62;SG;0
-74,024;7,142;0,0;17;71;89;SG;1
-73,592;6,330;0,0;5;68;90;SG;0
-73,595;6,328;0,0;5;68;90;SG;0
